0,Black,#05131D,#595959,null,null,null
1,Blue,#0055BF,#333333,null,null,null
2,Green,#257A3E,#333333,null,null,null
3,Dark_Turquoise,#00838F,#333333,null,null,null
4,Red,#C91A09,#333333,null,null,null
5,Dark_Pink,#C870A0,#333333,null,null,null
6,Brown,#583927,#1E1E1E,null,null,null
7,Light_Gray,#9BA19D,#333333,null,null,null
8,Dark_Gray,#6D6E5C,#333333,null,null,null
9,Light_Blue,#B4D2E3,#333333,null,null,null
10,Bright_Green,#4B9F4A,#333333,null,null,null
11,Light_Turquoise,#55A5AF,#333333,null,null,null
12,Salmon,#F2705E,#333333,null,null,null
13,Pink,#FC97AC,#333333,null,null,null
14,Yellow,#F2CD37,#333333,null,null,null
15,White,#FFFFFF,#333333,null,null,null
17,Light_Green,#C2DAB8,#333333,null,null,null
18,Light_Yellow,#FBE696,#333333,null,null,null
19,Tan,#E4CD9E,#333333,null,null,null
20,Light_Violet,#C9CAE2,#333333,null,null,null
22,Purple,#81007B,#333333,null,null,null
23,Dark_Blue_Violet,#2032B0,#1E1E1E,null,null,null
25,Orange,#FE8A18,#333333,null,null,null
26,Magenta,#923978,#333333,null,null,null
27,Lime,#BBE90B,#333333,null,null,null
28,Dark_Tan,#958A73,#333333,null,null,null
29,Bright_Pink,#E4ADC8,#333333,null,null,null
30,Medium_Lavender,#AC78BA,#333333,null,null,null
31,Lavender,#E1D5ED,#333333,null,null,null
68,Very_Light_Orange,#F3CF9B,#333333,null,null,null
69,Light_Purple,#CD6298,#333333,null,null,null
70,Reddish_Brown,#582A12,#595959,null,null,null
71,Light_Bluish_Gray,#A0A5A9,#333333,null,null,null
72,Dark_Bluish_Gray,#6C6E68,#333333,null,null,null
73,Medium_Blue,#5C9DD1,#333333,null,null,null
74,Medium_Green,#73DCA1,#333333,null,null,null
77,Light_Pink,#FECCCF,#333333,null,null,null
78,Light_Flesh,#F6D7B3,#333333,null,null,null
84,Medium_Dark_Flesh,#CC702A,#333333,null,null,null
85,Dark_Purple,#3F3691,#1E1E1E,null,null,null
86,Dark_Flesh,#7C503A,#333333,null,null,null
89,Blue_Violet,#4C61DB,#333333,null,null,null
92,Flesh,#D09168,#333333,null,null,null
100,Light_Salmon,#FEBABD,#333333,null,null,null
110,Violet,#4354A3,#333333,null,null,null
112,Medium_Violet,#6874CA,#333333,null,null,null
115,Medium_Lime,#C7D23C,#333333,null,null,null
118,Aqua,#B3D7D1,#333333,null,null,null
120,Light_Lime,#D9E4A7,#333333,null,null,null
125,Light_Orange,#F9BA61,#333333,null,null,null
151,Very_Light_Bluish_Gray,#E6E3E0,#333333,null,null,null
191,Bright_Light_Orange,#F8BB3D,#333333,null,null,null
212,Bright_Light_Blue,#86C1E1,#333333,null,null,null
216,Rust,#B31004,#333333,null,null,null
226,Bright_Light_Yellow,#FFF03A,#333333,null,null,null
232,Sky_Blue,#56BED6,#333333,null,null,null
272,Dark_Blue,#0D325B,#1E1E1E,null,null,null
288,Dark_Green,#184632,#595959,null,null,null
308,Dark_Brown,#352100,#595959,null,null,null
313,Maersk_Blue,#54A9C8,#333333,null,null,null
320,Dark_Red,#720E0F,#333333,null,null,null
321,Dark_Azure,#1498D7,#333333,null,null,null
322,Medium_Azure,#3EC2DD,#333333,null,null,null
323,Light_Aqua,#BDDCD8,#333333,null,null,null
326,Yellowish_Green,#DFEEA5,#333333,null,null,null
330,Olive_Green,#9B9A5A,#333333,null,null,null
335,Sand_Red,#D67572,#333333,null,null,null
351,Medium_Dark_Pink,#F785B1,#333333,null,null,null
366,Earth_Orange,#FA9C1C,#333333,null,null,null
373,Sand_Purple,#845E84,#333333,null,null,null
378,Sand_Green,#A0BCAC,#333333,null,null,null
379,Sand_Blue,#597184,#333333,null,null,null
450,Fabuland_Brown,#B67B50,#333333,null,null,null
462,Medium_Orange,#FFA70B,#333333,null,null,null
484,Dark_Orange,#A95500,#333333,null,null,null
503,Very_Light_Gray,#E6E3DA,#333333,null,null,null
47,Trans_Clear,#FCFCFC,#C3C3C3,128,null,null
40,Trans_Black,#635F52,#171316,128,null,null
36,Trans_Red,#C91A09,#880000,128,null,null
38,Trans_Neon_Orange,#FF800D,#BD2400,128,null,null
57,Trans_Orange,#F08F1C,#A45C28,128,null,null
605,Trans_Light_Orange,#FF9F2C,#A45C28,128,null,null
54,Trans_Neon_Yellow,#DAB000,#C3BA3F,128,null,null
46,Trans_Yellow,#F5CD2F,#8E7400,128,null,null
42,Trans_Neon_Green,#C0FF00,#84C300,128,null,null
35,Trans_Bright_Green,#56E646,#9DA86B,128,null,null
34,Trans_Green,#237841,#1E6239,128,null,null
33,Trans_Dark_Blue,#0020A0,#000064,128,null,null
